symbol,name,exchange,sector,list_date,mktcap
000739.SZ,普洛药业,SZSE,化学制药,19970509,
000750.SZ,国海证券,SZSE,证券,19970709,
000751.SZ,锌业股份,SZSE,铅锌,19970626,
000753.SZ,漳州发展,SZSE,综合类,19970626,
000755.SZ,山西高速,SZSE,路桥,19970627,
000756.SZ,新华制药,SZSE,化学制药,19970806,
000757.SZ,浩物股份,SZSE,汽车服务,19970627,
000758.SZ,中色股份,SZSE,铅锌,19970416,
000759.SZ,中百集团,SZSE,超市连锁,19970519,
000761.SZ,本钢板材,SZSE,普钢,19980115,
000762.SZ,西藏矿业,SZSE,小金属,19970708,
000766.SZ,通化金马,SZSE,化学制药,19970430,
000767.SZ,晋控电力,SZSE,火力发电,19970609,
000768.SZ,中航西飞,SZSE,航空,19970626,
000776.SZ,广发证券,SZSE,证券,19970611,
000777.SZ,中核科技,SZSE,机械基件,19970710,
000778.SZ,新兴铸管,SZSE,钢加工,19970606,
000779.SZ,甘咨询,SZSE,建筑工程,19970528,
000782.SZ,恒申新材,SZSE,化纤,19970619,
000783.SZ,长江证券,SZSE,证券,19970731,
000785.SZ,居然智家,SZSE,百货,19970711,
000786.SZ,北新建材,SZSE,其他建材,19970606,
000788.SZ,北大医药,SZSE,化学制药,19970616,
000789.SZ,万年青,SZSE,水泥,19970923,
000790.SZ,华神科技,SZSE,中成药,19980327,
000791.SZ,甘肃能源,SZSE,水力发电,19971014,
000792.SZ,盐湖股份,SZSE,农药化肥,19970904,
000795.SZ,英洛华,SZSE,矿物制品,19970808,
000796.SZ,凯撒旅业,SZSE,旅游服务,19970703,
000797.SZ,中国武夷,SZSE,全国地产,19970715,
000798.SZ,中水渔业,SZSE,渔业,19980212,
000799.SZ,酒鬼酒,SZSE,白酒,19970718,
000800.SZ,一汽解放,SZSE,汽车整车,19970618,
000801.SZ,四川九洲,SZSE,家用电器,19980506,
000802.SZ,北京文化,SZSE,影视音像,19980108,
000803.SZ,山高环能,SZSE,环境保护,19980303,
000807.SZ,云铝股份,SZSE,铝,19980408,
000809.SZ,和展能源,SZSE,电气设备,19980616,
000810.SZ,创维数字,SZSE,家用电器,19980602,
000811.SZ,冰轮环境,SZSE,工程机械,19980528,
000812.SZ,陕西金叶,SZSE,广告包装,19980623,
000813.SZ,德展健康,SZSE,化学制药,19980519,
000815.SZ,美利云,SZSE,通信设备,19980609,
000816.SZ,智慧农业,SZSE,农用机械,19970818,
000818.SZ,航锦科技,SZSE,化工原料,19971017,
000819.SZ,岳阳兴长,SZSE,石油加工,19970625,
000822.SZ,山东海化,SZSE,化工原料,19980703,
000823.SZ,超声电子,SZSE,元器件,19971008,
000825.SZ,太钢不锈,SZSE,特种钢,19981021,
000826.SZ,启迪环境,SZSE,环境保护,19980225,
000828.SZ,东莞控股,SZSE,路桥,19970617,
000829.SZ,天音控股,SZSE,其他商业,19971202,
000830.SZ,鲁西化工,SZSE,化工原料,19980807,
000831.SZ,中国稀土,SZSE,小金属,19980911,
000833.SZ,粤桂股份,SZSE,综合类,19981111,
000837.SZ,秦川机床,SZSE,机床制造,19980928,
000838.SZ,财信发展,SZSE,区域地产,19970626,
000839.SZ,国安股份,SZSE,综合类,19971031,
000848.SZ,承德露露,SZSE,软饮料,19971113,
000850.SZ,华茂股份,SZSE,纺织,19981007,
000852.SZ,石化机械,SZSE,化工机械,19981126,
000856.SZ,冀东装备,SZSE,专用机械,19980813,
000858.SZ,五粮液,SZSE,白酒,19980427,
000859.SZ,国风新材,SZSE,塑料,19981119,
000860.SZ,顺鑫农业,SZSE,白酒,19981104,
000862.SZ,银星能源,SZSE,新型电力,19980915,
000863.SZ,三湘印象,SZSE,区域地产,19970925,
000868.SZ,安凯客车,SZSE,汽车整车,19970725,
000869.SZ,张裕Ａ,SZSE,红黄酒,20001026,
000875.SZ,电投绿能,SZSE,火力发电,20020926,
000876.SZ,新希望,SZSE,饲料,19980311,
000877.SZ,天山股份,SZSE,水泥,19990107,
000878.SZ,云南铜业,SZSE,铜,19980602,
000880.SZ,潍柴重机,SZSE,专用机械,19980402,
000881.SZ,中广核技,SZSE,化工原料,19980902,
000882.SZ,华联股份,SZSE,其他商业,19980616,
000883.SZ,湖北能源,SZSE,水力发电,19980519,
000885.SZ,城发环境,SZSE,环境保护,19990319,
000886.SZ,海南高速,SZSE,区域地产,19980123,
000887.SZ,中鼎股份,SZSE,汽车配件,19981203,
000888.SZ,峨眉山Ａ,SZSE,旅游景点,19971021,
000889.SZ,中嘉博创,SZSE,通信设备,19971218,
000890.SZ,法尔胜,SZSE,环境保护,19990119,
000892.SZ,欢瑞世纪,SZSE,影视音像,19990115,
000893.SZ,亚钾国际,SZSE,农药化肥,19981224,
000895.SZ,双汇发展,SZSE,食品,19981210,
000897.SZ,津滨发展,SZSE,区域地产,19990422,
000898.SZ,鞍钢股份,SZSE,普钢,19971225,
000899.SZ,赣能股份,SZSE,火力发电,19971126,
000900.SZ,现代投资,SZSE,路桥,19990128,
000901.SZ,航天科技,SZSE,汽车配件,19990401,
000902.SZ,新洋丰,SZSE,农药化肥,19990408,
000905.SZ,厦门港务,SZSE,港口,19990429,
000906.SZ,浙商中拓,SZSE,仓储物流,19990707,
000910.SZ,大亚圣象,SZSE,家居用品,19990630,
000911.SZ,广农糖业,SZSE,食品,19990527,
000912.SZ,泸天化,SZSE,农药化肥,19990603,
000913.SZ,钱江摩托,SZSE,摩托车,19990514,
000915.SZ,华特达因,SZSE,化学制药,19990609,
000917.SZ,电广传媒,SZSE,广告包装,19990325,
000919.SZ,金陵药业,SZSE,化学制药,19991118,
000920.SZ,沃顿科技,SZSE,塑料,19990616,
000921.SZ,海信家电,SZSE,家用电器,19990713,
000922.SZ,佳电股份,SZSE,电气设备,19990618,
000923.SZ,河钢资源,SZSE,普钢,19990714,
000925.SZ,众合科技,SZSE,运输设备,19990611,
000926.SZ,福星股份,SZSE,区域地产,19990618,
000927.SZ,中国铁物,SZSE,仓储物流,19990727,
000928.SZ,中钢国际,SZSE,建筑工程,19990312,
000930.SZ,中粮科技,SZSE,农业综合,19990712,
000931.SZ,中关村,SZSE,化学制药,19990712,
000932.SZ,华菱钢铁,SZSE,普钢,19990803,
000933.SZ,神火股份,SZSE,铝,19990831,
000935.SZ,四川双马,SZSE,水泥,19990824,
000936.SZ,华西股份,SZSE,化纤,19990810,
000937.SZ,冀中能源,SZSE,煤炭开采,19990909,
000938.SZ,紫光股份,SZSE,IT设备,19991104,
000948.SZ,南天信息,SZSE,软件服务,19991014,
000949.SZ,新乡化纤,SZSE,化纤,19991021,
000950.SZ,重药控股,SZSE,医药商业,19990916,
000951.SZ,中国重汽,SZSE,汽车整车,19991125,
000952.SZ,广济药业,SZSE,化学制药,19991112,
000953.SZ,河化股份,SZSE,化学制药,19991202,
000955.SZ,欣龙控股,SZSE,纺织,19991209,
000957.SZ,中通客车,SZSE,汽车整车,20000113,
000958.SZ,电投产融,SZSE,新型电力,19991223,
000959.SZ,首钢股份,SZSE,普钢,19991216,
000960.SZ,锡业股份,SZSE,小金属,20000221,
000962.SZ,东方钽业,SZSE,小金属,20000120,
000963.SZ,华东医药,SZSE,化学制药,20000127,
000965.SZ,天保基建,SZSE,区域地产,20000406,
